Наименование;Начальная цена;Максимальная цена;Тип двигателя;Объём двигателя;Мощность двигателя;Коробка передач;Тип привода;Количество комплектаций
Toyota Camry XV80;16 499 000;26 190 000;Бензин/Гибрид;2,5 л;186-204 л.с.;Автомат/Вариатор;Передний;5 комплектаций
Chevrolet Tracker;10 240 000;10 740 000;Бензин;1-1,2 л;115-132 л.с.;Автомат;Передний;4 комплектации
Kia Sportage;12 290 000;19 590 000;Бензин;2-2,5 л;150-192 л.с.;Автомат;Передний/Полный;7 комплектаций
Geely Coolray;8 290 000;10 990 000;Бензин;1,5 л;174 л.с.;Робот;Передний;3 комплектации
Audi A6;39 950 000;61 500 000;Бензин;2 л;272-367 л.с.;Робот;Полный;1 комплектация
Zeekr 7X;20 790 000;26 990 000;Электричество;;422-630 л.с.;Автомат;Полный/Задний;3 комплектации
Lexus RX;33 900 000;61 590 000;Бензин/Гибрид;2,4-2,5 л;249-371 л.с.;Автомат/Вариатор;Полный;8 комплектаций
Jetour X50;6 890 000;8 390 000;Бензин;1,5 л;156 л.с.;Робот;Передний;2 комплектации
Geely Monjaro;15 590 000;16 990 000;Бензин;2 л;245 л.с.;Автомат;Полный;2 комплектации
Soueast S07;12 990 000;12 990 000;Бензин;1,6 л;197 л.с.;Автомат;Полный;1 комплектация
Porsche Cayenne Coupe;88 000 000;198 200 000;Бензин/Гибрид;3-4 л;353-739 л.с.;Автомат;Полный;7 комплектаций
Tank 500;25 844 700;32 990 000;Бензин;3 л;299-354 л.с.;Автомат;Полный;4 комплектации
BMW 5 серия;53 669 655;54 500 000;Бензин/Дизель/Гибрид;2-3 л;188-380 л.с.;Автомат;Полный/Задний;1 комплектация
Toyota Land Cruiser Prado J250;29 990 000;52 790 000;Бензин/Дизель;2,4-2,8 л;163-279 л.с.;Автомат;Полный;7 комплектаций
JAC J7 Plus;7 690 000;11 290 000;Бензин;1,5 л;174 л.с.;Робот;Передний;2 комплектации
Haval Jolion;8 746 500;10 531 500;Бензин;1,5 л;143-150 л.с.;Робот/Механика;Передний/Полный;7 комплектаций
GAC GS3;8 990 000;10 690 000;Бензин;1,5 л;170 л.с.;Робот;Передний;5 комплектаций
Skoda Karoq;15 590 000;17 990 000;Бензин;1,4-2 л;150-190 л.с.;Автомат/Робот;Передний/Полный;2 комплектации
Exeed LX;10 990 000;10 990 000;Бензин;1,5-1,6 л;147-150 л.с.;Вариатор/Робот;Передний;3 комплектации
Jeep Grand Cherokee;33 000 000;36 000 000;Бензин/Гибрид;2-5,7 л;270-357 л.с.;Автомат;Полный;9 комплектаций
MG ZS;7 490 000;8 490 000;Бензин;1,5 л;110-170 л.с.;Вариатор;Передний;2 комплектации
Haval H6 GT;13 190 000;13 190 000;Бензин;2 л;204 л.с.;Робот;Полный;1 комплектация
Exeed VX;14 300 000;14 300 000;Бензин;2 л;249 л.с.;Автомат;Полный;2 комплектации
Zeekr X;15 490 000;15 490 000;Электричество;;286-422 л.с.;Автомат;Полный/Задний;5 комплектаций
Geely Galaxy Preface;9 790 000;12 190 000;Бензин;2 л;197 л.с.;Робот;Передний;2 комплектации
Geely Galaxy Cityray;8 990 000;11 390 000;Бензин;1,5 л;147 л.с.;Робот;Передний;2 комплектации
Genesis GV70;31 790 000;45 090 000;Бензин;2,5-3,5 л;249-379 л.с.;Автомат;Полный;2 комплектации
Mercedes-Benz GLC-Класс;40 500 000;45 868 000;Бензин/Дизель/Гибрид;2 л;197-269 л.с.;Автомат;Полный;2 комплектации
Skoda Kodiaq;19 990 000;20 990 000;Бензин;2 л;190 л.с.;Робот;Полный;5 комплектаций
Kia EV9;35 990 000;35 990 000;Электричество;;385 л.с.;Автомат;Полный;1 комплектация
Lynk & Co 03;11 590 000;15 290 000;Бензин;2 л;218 л.с.;Робот;Передний;2 комплектации
BMW X2;32 456 944;34 532 236;Бензин;2 л;204-300 л.с.;Робот;Полный;2 комплектации
Subaru Forester;17 700 000;26 900 000;Бензин;2,5 л;185 л.с.;Вариатор;Полный;4 комплектации
Omoda C7;39 000 000;53 188 000;Бензин;1,6 л;150 л.с.;Робот;Передний;3 комплектации
Cadillac Escalade;85 000 000;104 000 000;Бензин;6,2 л;420-682 л.с.;Автомат;Полный/Задний;3 комплектации
Toyota Hilux AN120;21 000 000;35 490 000;Бензин/Дизель;2,4-2,7 л;150-166 л.с.;Автомат/Механика;Полный;3 комплектации
Chevrolet Tahoe;43 500 000;53 990 000;Бензин;5,3-6,2 л;409-420 л.с.;Автомат;Полный;1 комплектация
Chery Arrizo 6;7 290 000;8 290 000;Бензин;1,5 л;147 л.с.;Робот;Передний;1 комплектация
BYD Song Plus EV;12 890 000;14 490 000;Электричество;;204-218 л.с.;Автомат;Передний;2 комплектации
BYD Song Plus DM-i;14 990 000;16 290 000;Гибрид;1,5 л;307 л.с.;Вариатор;Передний;4 комплектации
Jetour T2;15 690 000;17 990 000;Бензин;2 л;254 л.с.;Автомат/Робот;Полный;2 комплектации
Rox 01;26 900 000;32 000 000;Гибрид;1,5 л;156-476 л.с.;Автомат;Полный;2 комплектации
MG 5;6 990 000;7 490 000;Бензин;1,5 л;110 л.с.;Вариатор;Передний;2 комплектации
MG HS;9 990 000;10 990 000;Бензин;1,5-2 л;170-231 л.с.;Автомат/Робот;Передний;2 комплектации
Maserati Grecale;45 400 000;59 000 000;Бензин;2-3 л;300-530 л.с.;Автомат;Полный;4 комплектации
RAM 1500;47 000 000;100 000 000;Бензин;3-6,2 л;305-702 л.с.;Автомат;Полный/Задний;9 комплектаций
Land Rover Range Rover Sport;93 541 000;152 543 000;Бензин/Дизель;3-4,4 л;249-530 л.с.;Автомат;Полный;9 комплектаций
Haval M6;7 908 300;9 039 300;Бензин;1,5 л;143 л.с.;Робот/Механика;Передний;4 комплектации
JAC RF8;16 890 000;16 890 000;Бензин;2 л;253 л.с.;Автомат;Передний;1 комплектация
Changan Hunter Plus;16 890 000;17 390 000;Бензин;2 л;226 л.с.;Автомат;Полный;1 комплектация
Jeep Wrangler;44 900 000;62 000 000;Бензин;2-6,4 л;270-470 л.с.;Автомат/Механика;Полный;8 комплектаций
JAC T6;14 290 000;14 290 000;Бензин/Дизель;2 л;136-177 л.с.;Механика;Полный;2 комплектации
Kia Seltos;9 550 000;13 990 000;Бензин;2 л;149 л.с.;Вариатор;Передний/Полный;8 комплектаций
Hyundai Tucson;12 490 000;15 880 000;Бензин;2-2,5 л;150-190 л.с.;Автомат;Передний/Полный;9 комплектаций
Mercedes-Benz GLE Coupe;60 500 000;87 000 000;Бензин/Дизель;2-4 л;194-612 л.с.;Автомат;Полный;2 комплектации
Li L6;19 500 000;27 730 000;Гибрид;1,5 л;408 л.с.;Автомат;Полный;2 комплектации
Li L7;21 990 000;33 960 000;Гибрид;1,5 л;449 л.с.;Автомат;Полный;3 комплектации
Toyota RAV4;17 600 000;28 990 000;Бензин/Гибрид;2-2,5 л;171-234 л.с.;Вариатор;Полный;7 комплектаций
Zeekr 9X;42 200 000;67 000 000;Гибрид;2 л;897-1381 л.с.;Автомат;Полный;3 комплектации
Lexus GX 550;54 499 900;69 290 000;Бензин;3,5 л;354 л.с.;Автомат;Полный;4 комплектации
BYD Sealion 7;15 000 000;19 990 000;Электричество;;313-530 л.с.;Автомат;Полный/Задний;2 комплектации
Chery Tiggo 7;8 700 000;11 990 000;Бензин/Гибрид;1,5-1,6 л;150-204 л.с.;Автомат/Робот;Передний/Полный;2 комплектации
Changan X5 Plus;7 550 000;8 850 000;Бензин;1,5 л;188 л.с.;Робот;Передний;3 комплектации
JAC T9;17 190 000;18 990 000;Бензин;2 л;224 л.с.;Автомат;Полный;1 комплектация
Audi Q7;55 000 000;62 900 000;Бензин;3 л;340 л.с.;Автомат;Полный;2 комплектации
Mercedes-Benz GLS-Класс;72 000 000;135 240 000;Бензин/Дизель;2,9-4 л;286-612 л.с.;Автомат;Полный;2 комплектации
Geely Okavango;11 690 000;13 690 000;Бензин;2 л;218 л.с.;Робот;Передний;2 комплектации
Lynk & Co 900;25 350 000;39 990 000;Гибрид;1,5-2 л;720-884 л.с.;Автомат;Полный;4 комплектации
Audi Q8;59 570 000;71 690 000;Бензин;3 л;340 л.с.;Автомат;Полный;4 комплектации
BYD Yuan Up;9 990 000;12 690 000;Электричество;;95-177 л.с.;Автомат;Передний;3 комплектации
Li L9;34 990 000;52 025 000;Гибрид;1,5 л;449 л.с.;Автомат;Полный;2 комплектации
BMW X3;40 000 000;59 024 000;Бензин/Дизель/Гибрид;2-3 л;197-381 л.с.;Автомат;Полный;2 комплектации
Soueast S09;15 490 000;15 490 000;Бензин;2 л;254 л.с.;Автомат;Полный;1 комплектация
BMW X6;47 000 000;75 300 000;Бензин/Дизель;3-4,4 л;298-625 л.с.;Автомат;Полный;2 комплектации
Toyota Land Cruiser;54 800 000;79 990 000;Бензин;3,5-4 л;275-415 л.с.;Автомат;Полный;7 комплектаций
Tank 300;18 990 500;23 290 000;Бензин;2 л;220 л.с.;Автомат;Полный;2 комплектации
Jetour Dashing;9 490 000;10 490 000;Бензин;1,5-1,6 л;147-190 л.с.;Робот;Передний;1 комплектация
BMW X7;75 000 000;105 208 553;Бензин/Дизель;3-4,4 л;352-530 л.с.;Автомат;Полный;2 комплектации
Haval H6 FL;10 290 000;14 990 000;Бензин;1,5-2 л;184-238 л.с.;Робот;Передний/Полный;4 комплектации
Haval H5;14 775 200;16 007 200;Бензин;2 л;200 л.с.;Автомат;Полный;2 комплектации
Lexus LX;64 500 000;102 500 000;Бензин/Дизель;3,3-3,5 л;299-415 л.с.;Автомат;Полный;6 комплектаций
Lexus NX;30 839 900;38 090 000;Бензин;2-2,5 л;149-279 л.с.;Автомат/Вариатор;Передний/Полный;5 комплектаций
Kia Sorento;16 990 000;25 490 000;Бензин;2,5 л;179-249 л.с.;Автомат;Полный;6 комплектаций
JAC JS4;6 990 000;9 490 000;Бензин;1,5-1,6 л;109-136 л.с.;Вариатор/Механика;Передний;4 комплектации
Toyota Hilux;26 300 000;35 490 000;Бензин;2,7 л;166 л.с.;Механика;Полный;1 комплектация
GAC GS8;15 990 000;17 990 000;Бензин;2 л;231 л.с.;Автомат;Полный;4 комплектации
Changan CS35 Max;8 990 000;9 390 000;Бензин;1,5 л;147 л.с.;Робот;Передний;1 комплектация
GAC Empow;9 990 000;11 490 000;Бензин;1,5 л;170 л.с.;Робот;Передний;2 комплектации
Porsche Cayenne;88 000 000;123 121 800;Бензин/Гибрид;3-4 л;304-599 л.с.;Автомат;Полный;6 комплектаций
Land Rover Range Rover;80 000 000;142 277 000;Бензин/Дизель/Гибрид;3-4,4 л;249-615 л.с.;Автомат;Полный;4 комплектации
Changan CS75 Plus;10 200 000;14 090 000;Бензин;1,5-2 л;181-235 л.с.;Автомат;Передний/Полный;1 комплектация
GAC GS4 Max;11 590 000;12 890 000;Бензин;1,5-2 л;170-248 л.с.;Автомат/Робот;Передний/Полный;1 комплектация
Kia Soluto;6 490 000;7 490 000;Бензин;1,4 л;95 л.с.;Автомат;Передний;2 комплектации
Soueast S06;11 490 000;11 490 000;Бензин;1,6 л;186 л.с.;Автомат;Полный;1 комплектация
Chevrolet Captiva;11 690 000;12 690 000;Бензин;1,5 л;149 л.с.;Вариатор;Передний;1 комплектация
Kaiyi X3 Pro;28 500 000;28 500 000;Бензин;1,5 л;147 л.с.;Вариатор;Передний;1 комплектация
Kaiyi E5;20 790 000;26 990 000;Бензин;1,5 л;147 л.с.;Вариатор/Механика;Передний;3 комплектации
Kaiyi X3;9 090 000;9 790 000;Бензин;1,5 л;113 л.с.;Вариатор/Механика;Передний;3 комплектации
